sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00266,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5220029988064241,0.07757839826795884,0.0,0.924072265625,311,58.643703842069954,300.00000000000006,0.05415162454873646,0.8720703125,511
sample_00267,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5568622120657358,0.08670761122682613,0.0,0.924072265625,311,54.10086935060099,300.00000000000006,0.07321772639691713,0.882568359375,460
sample_00268,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5103229451167454,0.080939131388202,0.0,0.924072265625,311,56.218246625270694,300.00000000000006,0.08030592734225621,0.882568359375,470
sample_00269,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5501815849498995,0.08464822884022202,0.0,0.924072265625,311,56.436984258238226,300.00000000000006,0.06142034548944338,0.880615234375,474
sample_00270,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.515055622337285,0.08256567864289137,0.0,0.924072265625,311,56.766812663991004,300.00000000000006,0.08208955223880597,0.8798828125,479
sample_00271,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5203319925072315,0.0802085031877267,0.0,0.924072265625,311,56.11283789342269,300.00000000000006,0.058823529411764705,0.8828125,468
sample_00272,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5080436823304039,0.07627343745817708,0.0,0.924072265625,311,55.9500884488225,300.00000000000006,0.07102803738317758,0.878662109375,478
sample_00273,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5449867687223641,0.08338631318309604,0.0,0.924072265625,311,56.64194138487801,300.00000000000006,0.06261510128913443,0.875732421875,492
sample_00274,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5186958165376104,0.08110694996298945,0.0,0.924072265625,311,54.20398509781808,300.00000000000006,0.09125475285171103,0.88330078125,471
sample_00275,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.48630785763739925,0.07209471893851659,0.0,0.924072265625,311,56.221592627000064,300.00000000000006,0.055350553505535055,0.875,503
sample_00276,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5557807728085564,0.08623230943975402,0.0,0.924072265625,311,55.25596226239577,300.00000000000006,0.07246376811594202,0.875,497
sample_00277,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5235882035620384,0.0819750301976125,0.0,0.924072265625,311,58.055792808067054,300.00000000000006,0.08888888888888889,0.8798828125,480
sample_00278,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.493284967314709,0.0746088458748658,0.0,0.924072265625,311,59.495156335644424,300.00000000000006,0.06545454545454546,0.87451171875,493
sample_00279,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5315957812825207,0.08237879331337196,0.0,0.924072265625,311,55.74254406383261,300.00000000000006,0.0746268656716418,0.87890625,480
