dataset,setting,lambda,gamma,replica_index,auroc,auprc,f1,shd,core_runtime_sec,end_to_end_runtime_sec,predicted_edges,gt_edges,tp,fp,fn,tn
NC8,lambda_0_gamma_0.0125,0.0,0.0125,1,0.6329331046312179,0.26071806972149614,0.28571428571428564,10.0,1294.2057210952044,1294.3295472641475,10,11,3,7,8,46
NC8,lambda_0_gamma_0.0125,0.0,0.0125,2,0.6123499142367067,0.2628023461627358,0.28571428571428564,10.0,1293.8463366860524,1293.963628154248,10,11,3,7,8,46
NC8,lambda_0_gamma_0.0125,0.0,0.0125,3,0.6363636363636364,0.2600413899191926,0.1904761904761905,11.0,1286.781130041927,1286.886245395057,10,11,2,8,9,45
NC8,lambda_0_gamma_0.0125,0.0,0.0125,4,0.6157804459691252,0.2519512085574431,0.1904761904761905,11.0,1286.8263094997965,1286.9356449386105,10,11,2,8,9,45
NC8,lambda_0_gamma_0.01875,0.0,0.01875,0,0.6260720411663808,0.25913564282822876,0.28571428571428564,10.0,1284.0140176527202,1284.1215994190425,10,11,3,7,8,46
NC8,lambda_0_gamma_0.01875,0.0,0.01875,1,0.62778730703259,0.2573724126273666,0.28571428571428564,10.0,1282.627473779954,1282.7701601232402,10,11,3,7,8,46
NC8,lambda_0_gamma_0.01875,0.0,0.01875,2,0.6123499142367067,0.2656289275797427,0.28571428571428564,10.0,1282.96071454091,1283.0830718199722,10,11,3,7,8,46
NC8,lambda_0_gamma_0.01875,0.0,0.01875,3,0.6535162950257289,0.2746814093726615,0.28571428571428564,10.0,1283.0063320300542,1283.1173640973866,10,11,3,7,8,46
NC8,lambda_0_gamma_0.01875,0.0,0.01875,4,0.6260720411663808,0.25887999335101014,0.28571428571428564,10.0,1283.0432446789928,1283.1618230682798,10,11,3,7,8,46
NC8,lambda_0_gamma_0.025,0.0,0.025,0,0.6123499142367067,0.2517278947132364,0.28571428571428564,10.0,1288.4083584272303,1288.511373240035,10,11,3,7,8,46
NC8,lambda_0_gamma_0.025,0.0,0.025,1,0.6106346483704974,0.2547294400841723,0.28571428571428564,10.0,1273.8033200362697,1273.906482388731,10,11,3,7,8,46
NC8,lambda_0_gamma_0.025,0.0,0.025,2,0.6123499142367067,0.264990898351288,0.28571428571428564,10.0,1275.6535164848901,1275.7550092651509,10,11,3,7,8,46
NC8,lambda_0_gamma_0.025,0.0,0.025,3,0.6775300171526587,0.2900264645080462,0.28571428571428564,10.0,1275.728045574855,1275.82520492794,10,11,3,7,8,46
NC8,lambda_0_gamma_0.025,0.0,0.025,4,0.62778730703259,0.26149422967604785,0.28571428571428564,10.0,1276.0410555512644,1276.148127140943,10,11,3,7,8,46
NC8,lambda_0_gamma_0,0.0,0.0,0,0.4236706689536878,0.1555442977501801,0.0,15.0,1277.6888534831814,1277.7895807260647,10,11,0,10,11,43
NC8,lambda_0_gamma_0,0.0,0.0,1,0.5317324185248714,0.1791147078558308,0.0,15.0,1278.428730212152,1278.5271509569138,10,11,0,10,11,43
NC8,lambda_0_gamma_0,0.0,0.0,2,0.4716981132075472,0.16395003998542512,0.0,16.0,1278.179566225037,1278.2771138958633,10,11,0,10,11,43
NC8,lambda_0_gamma_0,0.0,0.0,3,0.4391080617495712,0.15792710037630664,0.0,18.0,1278.4778305920772,1278.574886154849,14,11,0,14,11,39
NC8,lambda_0_gamma_0,0.0,0.0,4,0.45797598627787306,0.15996889588359678,0.0,16.0,1278.393724839203,1278.4969554580748,10,11,0,10,11,43
NC8,lambda_1.5_gamma_0.00625,1.5,0.00625,0,0.7409948542024014,0.40095359186268276,0.3793103448275862,36.0,1295.2258529481478,1295.334005267825,47,11,11,36,0,17
NC8,lambda_1.5_gamma_0.00625,1.5,0.00625,1,0.7427101200686106,0.3815291839747774,0.3793103448275862,36.0,1294.8912305282429,1294.993951186072,47,11,11,36,0,17
NC8,lambda_1.5_gamma_0.00625,1.5,0.00625,2,0.7238421955403087,0.3853773837199348,0.36363636363636365,34.0,1294.6359968800098,1294.7374639650807,44,11,10,34,1,19
NC8,lambda_1.5_gamma_0.00625,1.5,0.00625,3,0.7152658662092625,0.40777558798381724,0.3793103448275862,36.0,1294.8222079789266,1294.9206543317996,47,11,11,36,0,17
NC8,lambda_1.5_gamma_0.00625,1.5,0.00625,4,0.7101200686106347,0.34759054939765666,0.36363636363636365,34.0,1288.1348340697587,1288.2373619950376,44,11,10,34,1,19
NC8,lambda_1.5_gamma_0,1.5,0.0,0,0.6620926243567753,0.2904440561424387,0.35294117647058826,31.0,1291.464792474173,1291.5988065451384,40,11,9,31,2,22
NC8,lambda_1.5_gamma_0,1.5,0.0,1,0.6620926243567753,0.2979464417673539,0.392156862745098,30.0,1284.4691059188917,1284.602355166804,40,11,10,30,1,23
NC8,lambda_1.5_gamma_0,1.5,0.0,2,0.6518010291595198,0.30134770415879863,0.33333333333333337,29.0,1280.4986244929023,1280.620899988804,37,11,8,29,3,24
NC8,lambda_1.5_gamma_0,1.5,0.0,3,0.6672384219554031,0.34023261611024985,0.35294117647058826,31.0,1280.5544498912059,1280.676770567894,40,11,9,31,2,22
NC8,lambda_1.5_gamma_0,1.5,0.0,4,0.6620926243567753,0.33659562012503186,0.35294117647058826,31.0,1280.8971266360022,1281.0054672262631,40,11,9,31,2,22
ND8,lambda_0.75_gamma_0.00625,0.75,0.00625,0,0.7737556561085973,0.4986657087998884,0.41269841269841273,37.0,1295.4630642840639,1295.5924408156425,50,13,13,37,0,14
ND8,lambda_0.75_gamma_0.00625,0.75,0.00625,1,0.7737556561085973,0.5063450509429099,0.41269841269841273,37.0,1294.899135847576,1295.0009759482928,50,13,13,37,0,14
ND8,lambda_0.75_gamma_0.00625,0.75,0.00625,2,0.7541478129713424,0.5152491284102639,0.41269841269841273,37.0,1294.665062724147,1294.7771320599131,50,13,13,37,0,14
ND8,lambda_0.75_gamma_0.00625,0.75,0.00625,3,0.7767722473604827,0.49359386731854216,0.41269841269841273,37.0,1295.221816639416,1295.3260087231174,50,13,13,37,0,14
